Player,PTS,AST,REB,STL,BLK
Elfrid Payton,10.854000000000008,6.404999999999994,3.977000000000004,1.3070000000000008,0.30300000000000027
Solomon Hill,2.1709999999999963,0.4400000000000002,1.6610000000000027,0.14199999999999974,0.10799999999999982
Omri Casspi,11.799999999999978,1.4000000000000026,5.899999999999989,0.7999999999999985,0.19999999999999962
Hollis Thompson,9.799999999999983,1.2999999999999983,3.5,0.5,0.3000000000000005
Devin Harris,6.5799999999999965,1.7990000000000013,1.7219999999999975,0.5640000000000001,0.1739999999999997
Mason Plumlee,3.0730000000000013,1.0339999999999987,3.034,0.4390000000000001,0.4369999999999997
Boris Diaw,6.269000000000003,2.2290000000000005,2.521000000000002,0.5160000000000005,0.3529999999999996
Tony Allen,8.744000000000007,1.322000000000001,5.185000000000002,1.6509999999999971,0.4289999999999993
Tristan Thompson,4.611000000000001,0.5920000000000002,4.834000000000002,0.1939999999999998,0.3049999999999999
Rudy Gobert,11.921999999999999,1.4159999999999988,10.172999999999988,0.8500000000000005,1.2949999999999995
Derrick Williams,8.299999999999988,0.7000000000000013,2.699999999999995,0.5,0.09999999999999981
Ed Davis,5.756,0.819999999999999,8.202000000000009,0.39499999999999963,0.5229999999999994
Jameer Nelson,9.200000000000015,5.100000000000009,2.5999999999999965,0.7000000000000013,0.09999999999999981
Zaza Pachulia,4.402999999999996,1.2859999999999983,4.080999999999996,0.5510000000000002,0.2970000000000004
Lance Stephenson,7.6610000000000085,2.1139999999999985,3.2449999999999943,0.5940000000000009,0.09999999999999983
Iman Shumpert,3.6630000000000047,0.5039999999999991,1.8289999999999997,0.2660000000000004,0.05099999999999999
Jason Smith,6.834000000000006,0.9710000000000004,3.5149999999999992,0.3579999999999997,0.6840000000000005
Patrick Patterson,4.197999999999996,0.6560000000000009,2.445999999999999,0.20200000000000012,0.12599999999999986
James Johnson,6.17,2.0109999999999992,3.529999999999999,0.6039999999999996,0.6169999999999998
KJ McDaniels,2.300000000000004,0.3000000000000005,1.8000000000000016,0.0,0.7999999999999985
Andre Iguodala,4.635000000000002,1.953000000000002,3.305,0.9800000000000003,0.5100000000000001
Marcus Smart,14.259000000000013,5.110000000000006,3.9720000000000004,1.3609999999999993,0.3240000000000003
Mike Scott,4.834999999999995,0.7759999999999991,2.5890000000000013,0.40599999999999986,0.24100000000000021
Jerryd Bayless,7.79999999999999,3.0,2.699999999999995,0.7999999999999985,0.19999999999999962
Steven Adams,7.485999999999997,2.740000000000001,9.518999999999995,0.8900000000000009,0.8069999999999995
Jae Crowder,4.060000000000004,0.962999999999999,1.8490000000000004,0.6239999999999999,0.084
Beno Udrih,7.70000000000001,2.800000000000005,1.8000000000000016,0.600000000000001,0.09999999999999981
Norris Cole,3.2500000000000058,0.6899999999999987,0.6899999999999987,0.0,0.3000000000000005
Cody Zeller,4.209999999999995,0.4499999999999996,3.380000000000006,0.16299999999999978,0.3169999999999996
J.J. Barea,10.953000000000001,5.480000000000005,2.5560000000000014,0.44699999999999973,0.0
Tayshaun Prince,2.9000000000000004,1.0,1.9000000000000035,0.5,0.19999999999999962
Marvin Williams,5.611999999999999,0.9220000000000007,4.9040000000000035,0.5790000000000001,0.3470000000000001
Alan Anderson,11.0,1.200000000000002,3.5,0.7000000000000013,0.19999999999999962
Omer Asik,4.332000000000003,1.2360000000000007,8.399999999999986,0.9039999999999995,0.3079999999999998
Channing Frye,6.730000000000007,0.8429999999999989,3.171000000000001,0.4679999999999997,0.47099999999999975
Joakim Noah,5.800000000000001,3.199999999999994,11.0,0.7999999999999985,1.200000000000002
Jared Dudley,4.087999999999999,2.3480000000000043,1.2829999999999995,0.8709999999999992,0.29700000000000043
Trevor Booker,4.222000000000003,0.42700000000000027,3.4820000000000015,0.24200000000000016,0.2230000000000002
Quincy Pondexter,1.8980000000000006,1.0760000000000012,1.4480000000000002,0.6160000000000005,0.0
Lance Thomas,2.7440000000000024,0.24,1.4520000000000002,0.13600000000000007,0.2540000000000003
Leandro Barbosa,6.302999999999997,1.1650000000000018,1.5420000000000003,0.5600000000000006,0.07799999999999989
Jason Terry,3.326,0.938999999999999,1.3969999999999998,0.513,0.2109999999999998
John Henson,8.25999999999999,1.3500000000000003,6.2840000000000025,0.5620000000000006,1.442000000000002
Austin Rivers,5.49,1.3399999999999994,1.8229999999999986,0.8079999999999997,0.1329999999999998
Jusuf Nurkic,8.920999999999985,2.4370000000000043,8.248999999999993,1.3579999999999997,1.3859999999999997
Will Barton,13.805999999999989,2.8600000000000034,5.406000000000009,0.8319999999999989,0.31699999999999967
CJ McCollum,18.78899999999998,4.709000000000007,4.684000000000006,1.4950000000000003,0.7189999999999991
Chase Budinger,4.100000000000006,1.0,2.300000000000004,0.5,0.19999999999999962
